customer_id,customer_age,customer_gender,customer_location,customer_membership,customer_engagement_score,order_id,order_date,order_value,order_frequency,payment_method,discount_applied,return_status,product_id,product_category,product_price,product_rating,inventory_status,source,recommendation_score
CUST00001,56,Male,Kolkata,Regular,29,ORD000001,2023-01-01,4744.43,2,Credit Card,7,Yes,PROD00001,Groceries,9994.33,5.0,Out of Stock,Google Ads,5
CUST00002,46,Female,Chennai,Regular,83,ORD000002,2023-01-02,2121.02,4,UPI,36,No,PROD00002,Clothing,8456.78,2.1,In Stock,Google Ads,4
CUST00003,32,Male,Bangalore,Silver,19,ORD000003,2023-01-03,3959.83,8,Credit Card,26,Yes,PROD00003,Electronics,3917.54,3.3,In Stock,Google Ads,10
CUST00004,60,Female,Kolkata,Gold,66,ORD000004,2023-01-04,1476.46,8,UPI,27,No,PROD00004,Groceries,6742.92,3.8,In Stock,Social Media,10
CUST00005,25,Female,Mumbai,Regular,41,ORD000005,2023-01-05,4953.6,9,UPI,39,No,PROD00005,Groceries,14581.36,1.7,In Stock,Email Marketing,10
CUST00006,38,Female,Hyderabad,Regular,45,ORD000006,2023-01-06,323.69,5,UPI,33,No,PROD00006,Groceries,13418.22,1.6,In Stock,Word of Mouth,10
CUST00007,56,Male,Pune,Regular,15,ORD000007,2023-01-07,3096.94,7,Wallet,31,No,PROD00007,Electronics,1529.11,2.8,Out of Stock,Word of Mouth,6
CUST00008,36,Male,Bangalore,Regular,3,ORD000008,2023-01-08,3365.63,3,UPI,14,No,PROD00008,Electronics,14971.58,2.5,Out of Stock,Social Media,1
CUST00009,40,Male,Pune,Silver,11,ORD000009,2023-01-09,3502.62,4,Net Banking,43,No,PROD00009,Electronics,1155.61,3.9,In Stock,Email Marketing,5
CUST00010,28,Female,Bangalore,Regular,53,ORD000010,2023-01-10,777.86,9,Credit Card,16,Yes,PROD00010,Clothing,10904.24,1.3,In Stock,Email Marketing,4
CUST00011,28,Female,Chennai,Regular,46,ORD000011,2023-01-11,4704.94,1,Wallet,32,Yes,PROD00011,Groceries,5275.25,4.9,In Stock,Social Media,4
CUST00012,41,Other,Bangalore,Regular,30,ORD000012,2023-01-12,1069.68,2,Credit Card,46,No,PROD00012,Accessories,11795.03,1.1,In Stock,Google Ads,7
CUST00013,53,Male,Mumbai,Silver,57,ORD000013,2023-01-13,3189.22,5,Wallet,45,No,PROD00013,Accessories,5300.44,3.4,In Stock,Email Marketing,9
CUST00014,57,Female,Mumbai,Silver,18,ORD000014,2023-01-14,1268.85,3,Net Banking,15,Yes,PROD00014,Groceries,19700.66,3.3,In Stock,Word of Mouth,8
CUST00015,41,Female,Delhi,Gold,51,ORD000015,2023-01-15,1674.64,2,Wallet,28,No,PROD00015,Accessories,6263.59,1.5,Out of Stock,Social Media,8
CUST00016,20,Male,Mumbai,Regular,48,ORD000016,2023-01-16,2823.0,1,Wallet,8,No,PROD00016,Clothing,4915.02,1.6,In Stock,Word of Mouth,5
CUST00017,39,Male,Kolkata,Gold,66,ORD000017,2023-01-17,2202.53,3,Wallet,32,No,PROD00017,Clothing,5641.46,4.2,In Stock,Google Ads,6
CUST00018,19,Female,Bangalore,Gold,96,ORD000018,2023-01-18,969.08,1,Credit Card,48,No,PROD00018,Electronics,17939.81,4.6,In Stock,Social Media,2
CUST00019,41,Female,Mumbai,Regular,8,ORD000019,2023-01-19,1020.49,1,UPI,28,No,PROD00019,Electronics,12760.75,2.1,In Stock,Word of Mouth,3
CUST00020,61,Female,Chennai,Regular,22,ORD000020,2023-01-20,2207.09,1,Credit Card,12,Yes,PROD00020,Electronics,14640.61,2.8,Out of Stock,Word of Mouth,5
CUST00021,47,Male,Pune,Regular,6,ORD000021,2023-01-21,3834.96,8,UPI,20,No,PROD00021,Electronics,18368.41,2.4,In Stock,Google Ads,2
CUST00022,55,Female,Pune,Regular,76,ORD000022,2023-01-22,4510.23,3,Credit Card,20,No,PROD00022,Electronics,18246.26,1.3,In Stock,Social Media,3
CUST00023,19,Male,Delhi,Regular,57,ORD000023,2023-01-23,603.81,1,Net Banking,4,No,PROD00023,Accessories,14805.02,3.7,In Stock,Email Marketing,4
CUST00024,38,Male,Pune,Regular,36,ORD000024,2023-01-24,2086.9,7,Net Banking,9,No,PROD00024,Accessories,4036.71,4.3,In Stock,Email Marketing,6
CUST00025,50,Male,Bangalore,Regular,79,ORD000025,2023-01-25,681.18,3,Wallet,5,No,PROD00025,Electronics,16883.13,2.2,In Stock,Word of Mouth,5
CUST00026,29,Female,Delhi,Gold,92,ORD000026,2023-01-26,279.64,8,Net Banking,12,No,PROD00026,Clothing,4155.14,5.0,In Stock,Google Ads,10
CUST00027,39,Female,Bangalore,Regular,57,ORD000027,2023-01-27,3376.25,4,Wallet,0,No,PROD00027,Accessories,14883.69,1.3,In Stock,Word of Mouth,4
CUST00028,61,Female,Chennai,Gold,49,ORD000028,2023-01-28,3091.76,4,UPI,19,No,PROD00028,Clothing,13743.5,3.6,In Stock,Google Ads,2
CUST00029,42,Male,Delhi,Silver,45,ORD000029,2023-01-29,982.49,5,Net Banking,46,No,PROD00029,Clothing,15201.89,2.8,In Stock,Email Marketing,5
CUST00030,44,Female,Hyderabad,Gold,82,ORD000030,2023-01-30,1322.3,6,UPI,45,No,PROD00030,Groceries,10700.45,2.8,In Stock,Word of Mouth,5
CUST00031,59,Male,Kolkata,Silver,66,ORD000031,2023-01-31,313.8,7,Credit Card,7,No,PROD00031,Groceries,12810.65,2.8,In Stock,Word of Mouth,7
CUST00032,45,Female,Kolkata,Regular,77,ORD000032,2023-02-01,4207.75,4,UPI,9,No,PROD00032,Electronics,19071.07,2.0,In Stock,Google Ads,1
CUST00033,33,Male,Bangalore,Silver,45,ORD000033,2023-02-02,4878.51,8,Credit Card,8,No,PROD00033,Clothing,2111.66,3.9,Out of Stock,Social Media,4
CUST00034,32,Male,Pune,Regular,79,ORD000034,2023-02-03,850.21,6,UPI,48,No,PROD00034,Accessories,6246.06,3.9,In Stock,Google Ads,5
CUST00035,64,Male,Hyderabad,Regular,20,ORD000035,2023-02-04,1311.08,1,UPI,40,No,PROD00035,Groceries,12266.0,2.1,In Stock,Social Media,8
CUST00036,61,Male,Delhi,Gold,64,ORD000036,2023-02-05,4368.37,1,Net Banking,2,No,PROD00036,Groceries,19284.68,4.3,In Stock,Email Marketing,8
CUST00037,20,Female,Hyderabad,Regular,93,ORD000037,2023-02-06,4647.03,9,UPI,10,Yes,PROD00037,Clothing,2001.93,2.3,In Stock,Word of Mouth,1
CUST00038,54,Female,Hyderabad,Regular,93,ORD000038,2023-02-07,2214.21,6,Net Banking,11,Yes,PROD00038,Groceries,548.73,3.9,In Stock,Word of Mouth,5
